日期,县区,水生产力（元/立方米）,水压力,安全饮用水人口比例,地下水开采量（亿立方米）,森林覆盖率,退化土地面积（公顷）,绿色覆盖指数,人均GDP（元）,就业人口人均GDP（元）,城市化率,农业水生产力（元/立方米）,农业水利用效率,耕地面积（公顷）,草地覆盖率
2012,甘州,14.6470246855953,1.15035987060651,0.948905619230769,2.22582,0.00750149731837731,0.143832349123154,0.363676628011914,2.38115384615385,6.15953708457201,40.15,4.03956183347132,0.577299907336195,78353,212038.87
2012,民乐,13.1357817899851,1.52275061678466,0.8493123144,0.090738,0.000761316872427984,0.198520301783265,0.438125925925926,1.32,3.8698328935796,15.16,4.57523010373298,0.952081785397316,69647,152342.48
2012,临泽,9.05947806544843,1.29377490430772,0.734593877333333,0.58754,0.0121657445193651,0.0422989150561172,0.151555953991633,2.44666666666667,6.58733150252185,31.07,3.06562079577211,0.448369843519822,26480,215205.69
2012,高台,9.99768200512936,1.2221048988376,0.74083471,1.477076,0.00412805259511226,0.46569612958632,0.530888417011792,2.350625,6.46060081354442,25.81,3.83651970941216,0.443418204875035,27233,187431.1
2012,山丹,17.8751000472018,0.849806236788639,0.660994203,1.002321,0.00171196536453543,0.2805608050886,0.422801478717663,1.742,4.59630606860158,29.8,4.29357565016903,1.72188908909182,69527,270210.7
2012,嘉峪关,257.837710258182,2.47079508958817,0.983194938679245,0.291183,0.00150596252129472,0.0463297444633731,0.0710963543441226,11.5707547169811,31.8017664824679,83.41,4.24266921226819,0.589717403830442,6827,130195.22
2012,金塔,15.15451509199,1.79536308832188,0.952061197041022,1.763986,0.00140759655282477,0.0421146132567294,0.208522209809554,3.9119031607263,12.287671694705,21.1,4.18525117634327,0.575041155173711,310167,1472160.95
2012,肃州,28.2057797310383,4.23131032656572,0.955609122562674,1.667307,0.00234199645599527,0.0796996455995275,0.20608180744241,4.28249767873723,12.0207086923517,41.01,3.62542421282215,0.618681504095109,42000,238158.7
2012,肃南,49.3636518976527,2.20782774616957,0.621712020725389,0.38141,0.000169114804793197,0.0158010485117897,0.0211112533822961,6.06217616580311,17.3860736658343,30.79,7.30788920315126,0.605187666435242,10640,1965475.15
2012,额济纳旗,16.4615271735064,0.27349472555525,1.01696827665047,0.133987,0.00297549866499136,0.0174842067605535,0.0207136188332199,25.904544155473,87.6278470856944,74.6,0.537578557298973,0.210636354984915,2910,11213595.5
2012,流域,23.9446781216053,1.80884032524831,88.0027824943748,9.621368,0.0026416386733044,16056814.36,0.0844455126301675,3.94258177257486,10.8568370408851,38.2389250719589,4.57955802219525,0.767655808624729,643784,0.0458707115233226
2013,甘州,14.2279026109582,1.10902480784679,0.958394675423077,2.22806922310088,0.0159909929671649,0.141991817696892,0.369454032647216,2.38100373113153,6.16265303197893,19.1793240012041,3.92189966660662,0.590470603927607,78031.4006132317,209902.250673241
2013,民乐,7.96134493509668,0.948990433187834,0.857805437544,0.58303018775169,0.000961141765745689,0.253260465838078,0.493742046271576,1.32016211689652,3.86735421965467,19.1793240012041,2.77334472664036,0.4473441074687,69844.1599155166,136120.29832804
2013,临泽,9.59407687793267,1.37492115761285,0.741939816106667,1.47334317267318,0.0207567332626755,0.0377197889174309,0.15550180993645,2.44673392470967,6.58842098426318,19.1793240012041,3.2459055057167,0.455520739239553,26461.9978056507,214126.434087287
2013,高台,19.2969562106343,2.3829420626349,0.7482430571,0.984748616649443,0.00334590431804367,0.00339818502249521,0.0675620923507083,2.35057794000992,6.46299132728911,19.1793240012041,7.40236131962073,1.77598073930267,27123.1872564543,394044.123036301
2013,山丹,13.6303243797213,0.646021866455776,0.66760414503,0.0899452487720886,0.00230993986784442,0.425983904622796,0.568563921529175,1.74208988722457,4.5983333554175,19.1793240012041,3.27332129061325,1.00758575928836,69399.0414250463,198092.344181645
2013,嘉峪关,570.12834494966,5.478879659263,0.984079814124057,0.381277101146805,0.00122451029310775,0.0754878218271788,0.099973069714291,11.5709613304439,31.8018434035016,83.5483536961505,9.38119833975494,0.586853001373538,6827.02648384029,121712.466754812
2013,金塔,54.6852457705574,6.42448324090348,0.957773564223268,0.29152424821024,0.00285816900049373,0.0425642316691441,0.210259289757057,3.91175327656292,12.2920740976627,44.9819503777095,15.1001216976736,0.609410874984602,309860.384106531,1468898.78102592
2013,肃州,27.8604246128415,4.14445299929085,0.965165213788301,1.66986342495973,0.00224018936784891,0.0891858786982848,0.21536687637142,4.28245463649305,12.0240260448467,82.1361629187025,3.58071912216809,0.628502811714597,41966.3576921701,235026.623921732
2013,肃南,5.89163131222512,0.271519074906743,0.631659413056995,1.78025089113056,0.000257953248484222,0.0188334344138039,0.0242775691344804,6.06160943506017,17.3687951058123,19.1793240012041,0.87265205635798,0.609539799718066,10733.3211748491,1958921.077271
2013,额济纳旗,16.0874879177263,0.269834360227156,1.06069791254644,0.131320595597953,0.00469699707737839,0.0352418627907619,0.0401928218029747,25.9058151084091,87.6253329957604,78.0982310806012,0.525348795272678,0.195456202503489,2910.55615036384,10990349.9333149
2013,流域,23.4509346430073,1.76742692369394,87.3887935066145,9.61337270999257,0.00420469110397115,15927194.3325948,0.0916787615104375,3.88021131507342,10.888459445418,44.1453567221882,4.57994272611538,0.79994189290335,643157.432623654,0.0515758801799235
2014,甘州,14.4040698553366,1.13098288732946,0.967978622177308,2.24448709899178,0.0160724425494998,0.142261633541013,0.370957088440215,2.42589890736782,6.25117450289437,20.2442183014591,3.98595199474255,0.593941438188565,78456.4031959538,209485.753716997
